Agency,Annual_Contract_Revenue,State,Country,Congressional_District,Contracting_Agency,Contracting_Office,DUNS,Contract_Date,Vendor
DOD,5000000000,ILLINOIS,USA,8,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,961027315,2011,CARDINAL HEALTH 200 INCORPORATED (5186)
DOD,5000000000,ILLINOIS,USA,10,DEPT OF THE NAVY,COMMANDER,5103494,2011,"W. W. GRAINGER, INC."
DOD,5000000000,ILLINOIS,USA,8,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,961027315,2011,CARDINAL HEALTH 200 INCORPORATED (5186)
DOD,5000000000,ILLINOIS,USA,8,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,961027315,2011,CARDINAL HEALTH 200 INCORPORATED (5186)
DOD,5000000000,ILLINOIS,USA,8,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,961027315,2011,CARDINAL HEALTH 200 INCORPORATED (5186)
DOD,5000000000,ILLINOIS,USA,8,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,961027315,2011,CARDINAL HEALTH 200 INCORPORATED (5186)
DOD,5000000000,ILLINOIS,USA,8,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,961027315,2011,CARDINAL HEALTH 200 INCORPORATED (5186)
DOD,5000000000,ILLINOIS,USA,8,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,961027315,2011,CARDINAL HEALTH 200 INCORPORATED (5186)
DOD,4882225152,,JAPAN,,DEPT OF THE NAVY,NAVAL FAC ENGINEERING CMD FAR EAST,690567938,2012,NIPPO CORPORATION
DOD,4680000000,NEW HAMPSHIRE,USA,1,DEFENSE LOGISTICS AGENCY,DLA LAND AND MARITIME,1083609,2012,"SMITHS TUBULAR SYSTEMS-LACONIA, INC."
DOD,4499999744,CALIFORNIA,USA,53,DEPT OF THE NAVY,NAVFAC SOUTHWEST,126474456,2011,"URS GROUP, INC."
DOD,4499999744,MINNESOTA,USA,3,DEPT OF THE ARMY,W6QK ACC-PICA,104007120,2012,ALLIANT TECHSYSTEMS OPERATIONS LLC
DOD,4498719232,OKLAHOMA,USA,4,DEPT OF THE AIR FORCE,FA8108  AFSC PZIE,23879831,2011,"LEAR SIEGLER SERVICES, INC."
DOD,4498719232,OKLAHOMA,USA,4,DEPT OF THE AIR FORCE,FA8108  AFSC PZIE,23879831,2011,"LEAR SIEGLER SERVICES, INC."
DOD,4456999936,CONNECTICUT,USA,3,DEFENSE LOGISTICS AGENCY,DLA AVIATION,835551474,2011,SIKORSKY AIRCRAFT CORPORATION
DOD,4456999936,CONNECTICUT,USA,3,DEFENSE LOGISTICS AGENCY,DLA AVIATION,835551474,2011,SIKORSKY AIRCRAFT CORPORATION
DOD,4456999936,CONNECTICUT,USA,3,DEFENSE LOGISTICS AGENCY,DLA AVIATION,835551474,2011,SIKORSKY AIRCRAFT CORPORATION
DOD,4456999936,CONNECTICUT,USA,3,DEFENSE LOGISTICS AGENCY,DLA AVIATION,835551474,2011,SIKORSKY AIRCRAFT CORPORATION
DOD,4456999936,CONNECTICUT,USA,3,DEFENSE LOGISTICS AGENCY,DLA AVIATION,835551474,2011,SIKORSKY AIRCRAFT CORPORATION
DOD,4456999936,CONNECTICUT,USA,3,DEFENSE LOGISTICS AGENCY,DLA AVIATION,835551474,2011,SIKORSKY AIRCRAFT CORPORATION
DOD,4456999936,CONNECTICUT,USA,3,DEFENSE LOGISTICS AGENCY,DLA AVIATION,835551474,2011,SIKORSKY AIRCRAFT CORPORATION
DOD,4456999936,CONNECTICUT,USA,3,DEFENSE LOGISTICS AGENCY,DLA AVIATION,835551474,2011,SIKORSKY AIRCRAFT CORPORATION
DOD,4456999936,CONNECTICUT,USA,3,DEFENSE LOGISTICS AGENCY,DLA AVIATION,835551474,2011,SIKORSKY AIRCRAFT CORPORATION
DOD,4456999936,CONNECTICUT,USA,3,DEFENSE LOGISTICS AGENCY,DLA AVIATION,835551474,2011,SIKORSKY AIRCRAFT CORPORATION
DOD,4456999936,CONNECTICUT,USA,3,DEFENSE LOGISTICS AGENCY,DLA AVIATION,835551474,2011,SIKORSKY AIRCRAFT CORPORATION
DOD,4456999936,CONNECTICUT,USA,3,DEFENSE LOGISTICS AGENCY,DLA AVIATION,835551474,2011,SIKORSKY AIRCRAFT CORPORATION
DOD,4456999936,CONNECTICUT,USA,3,DEFENSE LOGISTICS AGENCY,DLA AVIATION,835551474,2011,SIKORSKY AIRCRAFT CORPORATION
DOD,4456999936,CONNECTICUT,USA,3,DEFENSE LOGISTICS AGENCY,DLA AVIATION,835551474,2011,SIKORSKY AIRCRAFT CORPORATION
DOD,4356400128,KENTUCKY,USA,6,DEFENSE LOGISTICS AGENCY,DLA DOCUMENT SERVICES,623331717,2011,LEXMARK INTERNATIONAL INC
DOD,4300000256,IOWA,USA,2,DEFENSE LOGISTICS AGENCY,DLA LAND AND MARITIME SUPPLIER,60605883,2011,"ROCKWELL COLLINS, INC."
DOD,4300000000,IOWA,USA,2,DEPT OF THE NAVY,NAVSUP WEAPON SYSTEMS SUPPORT,60605883,2012,"ROCKWELL COLLINS, INC."
DOD,4208725504,GEORGIA,USA,1,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,118509772,2011,"REINHART FOODSERVICE, L.L.C."
DOD,4208725504,GEORGIA,USA,1,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,118509772,2011,"REINHART FOODSERVICE, L.L.C."
DOD,4153200128,MICHIGAN,USA,10,DEPT OF THE ARMY,W4GG HQ US ARMY TACOM,791819535,2012,GENERAL DYNAMICS LAND SYSTEMS CUSTOMER SERVICE&SUPPORT  CO
DOD,4088866560,TEXAS,USA,26,DEPT OF THE NAVY,NAVAL AIR SYSTEMS COMMAND,62923321,2011,BELL HELICOPTER TEXTRON INC.
DOD,4038000128,INDIANA,USA,3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,137354572,2011,"ZIMMER US, INC."
DOD,4000000000,MARYLAND,USA,8,DEPT OF THE ARMY,0413 AQ HQ,103933453,2012,BAE SYSTEMS TECHNOLOGY SOLUTIONS&SERVICES INC.
DOD,4000000000,NEBRASKA,USA,2,DEPT OF THE ARMY,W072 ENDIST BUFFALO,126643027,2011,"URS GROUP, INC"
DOD,4000000000,NORTH CAROLINA,USA,13,DEPT OF THE AIR FORCE,FA3089  902 CONS LGC  JBSA,38006110,2011,EATON CORPORATION
DOD,4000000000,NORTH CAROLINA,USA,,DEPT OF THE ARMY,W40M SOUTH RGNL CONTR OFC EAST,3162310,2012,"NATIONAL WELDERS SUPPLY COMPANY, INC."
DOD,4000000000,OHIO,USA,1,DEPT OF THE ARMY,W6QM MICC-FDO FT SAM HOUSTON,82838470,2012,"SHAW ENVIRONMENTAL, INC."
DOD,4000000000,PENNSYLVANIA,USA,13,DEFENSE LOGISTICS AGENCY,DLA TROP SUPPORT C&E HARDWARE,35020445,2012,"SPS TECHNOLOGIES, LLC"
DOD,4000000000,TEXAS,USA,20,DEPT OF THE AIR FORCE,FA8903  772 ESS PK,796667462,2011,SHAW ENVIRONMENTAL AND INFRASTRUCTURE INCORPORATED
DOD,3900000000,NEW HAMPSHIRE,USA,2,DEFENSE LOGISTICS AGENCY,DLA  ENERGY,606601136,2011,"AIRGAS - EAST, INC."
DOD,3600000000,MARYLAND,USA,2,DEPT OF THE NAVY,NAV FAC ENGINEERING CMD WASHINGTON,6950604,2011,"WHITING-TURNER CONTRACTING COMPANY, THE"
DOD,3368090136,INDIANA,USA,2,DEFENSE LOGISTICS AGENCY,DLA LAND AND MARITIME,612020933,2011,"AM GENERAL, LLC"
DOD,3350000128,NEW HAMPSHIRE,USA,2,DEFENSE LOGISTICS AGENCY,DLA  ENERGY,606601136,2011,"AIRGAS - EAST, INC."
DOD,3336568373,KENTUCKY,USA,4,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,831837773,2012,"DRS ENVIRONMENTAL SYSTEMS, INC."
DOD,3336568320,KENTUCKY,USA,4,DEPT OF THE ARMY,W0ML USA DEP TOBYHANNA,831837773,2012,"DRS ENVIRONMENTAL SYSTEMS, INC."
DOD,3300000000,ILLINOIS,USA,6,DEFENSE LOGISTICS AGENCY,DLA LAND AND MARITIME SUPPLIER,5079868,2012,"PENTAIR FILTRATION SOLUTIONS, LLC"
DOD,3300000000,NEW YORK,USA,2,DEFENSE LOGISTICS AGENCY,DLA AVIATION,83489893,2011,BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.
DOD,3300000000,NEW YORK,USA,2,DEPT OF THE NAVY,NAVSUP WEAPON SYSTEMS SUPPORT,83489893,2011,BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.
DOD,3300000000,VIRGINIA,USA,8,DEPT OF THE ARMY,W6QM MICC-FT LEAVENWORTH,6928857,2011,BOOZ ALLEN HAMILTON INC.
DOD,3300000000,VIRGINIA,USA,8,DEPT OF THE NAVY,NAVSUP FLT LOG CTR NORFOLK,6928857,2011,BOOZ ALLEN HAMILTON INC.
DOD,3295000064,COLORADO,USA,6,DEPT OF THE NAVY,NAVSUP WEAPON SYSTEMS SUPPORT MECH,58215778,2011,"AGILENT TECHNOLOGIES, INC"
DOD,3185324800,TEXAS,USA,6,DEPT OF THE ARMY,W07V ENDIST N ORLEANS,780103946,2012,"ARCHER WESTERN CONTRACTORS, LTD."
DOD,3121000000,NEW YORK,USA,26,DEFENSE LOGISTICS AGENCY,DLA LAND AND MARITIME SUPPLIER,145940628,2012,AVOX SYSTEMS INC.
DOD,3100409667,INDIANA,USA,2,DEFENSE LOGISTICS AGENCY,DLA LAND AND MARITIME,612020933,2012,"AM GENERAL, LLC"
DOD,3100409667,INDIANA,USA,2,DEFENSE LOGISTICS AGENCY,DLA LAND AND MARITIME,612020933,2012,"AM GENERAL, LLC"
DOD,3100409667,INDIANA,USA,2,DEFENSE LOGISTICS AGENCY,DLA LAND AND MARITIME,612020933,2012,"AM GENERAL, LLC"
DOD,3000000000,FLORIDA,USA,1,DEFENSE LOGISTICS AGENCY,DLA AVIATION,8169708,2012,"DRS TRAINING&CONTROL SYSTEMS, LLC"
DOD,3000000000,MARYLAND,USA,8,DEPT OF THE NAVY,NAVAL UNDERSEA WARFARE CENTER,103933453,2012,BAE SYSTEMS TECHNOLOGY SOLUTIONS&SERVICES INC.
DOD,3000000000,MARYLAND,USA,8,DEPT OF THE NAVY,NAVAL AIR WARFARE CENTER AIR DIV,103933453,2012,BAE SYSTEMS TECHNOLOGY SOLUTIONS&SERVICES INC.
DOD,3000000000,MASSACHUSETTS,USA,5,DEPT OF THE ARMY,W6QM MICC-WHITE SANDS,59728071,2012,FUTURE ELECTRONICS CORP
DOD,2969999872,TEXAS,USA,26,DEFENSE LOGISTICS AGENCY,DLA AVIATION,62923321,2011,BELL HELICOPTER TEXTRON INC.
DOD,2969999872,TEXAS,USA,26,DEFENSE LOGISTICS AGENCY,DLA AVIATION,62923321,2011,BELL HELICOPTER TEXTRON INC.
DOD,2969999872,TEXAS,USA,26,DEFENSE LOGISTICS AGENCY,DLA AVIATION,62923321,2011,BELL HELICOPTER TEXTRON INC.
DOD,2969999872,TEXAS,USA,26,DEFENSE LOGISTICS AGENCY,DLA AVIATION,62923321,2011,BELL HELICOPTER TEXTRON INC.
DOD,2969999872,TEXAS,USA,26,DEFENSE LOGISTICS AGENCY,DLA AVIATION,62923321,2011,BELL HELICOPTER TEXTRON INC.
DOD,2969999872,TEXAS,USA,26,DEFENSE LOGISTICS AGENCY,DLA AVIATION,62923321,2011,BELL HELICOPTER TEXTRON INC.
DOD,2969999872,TEXAS,USA,26,DEFENSE LOGISTICS AGENCY,DLA AVIATION,62923321,2011,BELL HELICOPTER TEXTRON INC.
DOD,2969999872,TEXAS,USA,26,DEFENSE LOGISTICS AGENCY,DLA AVIATION,62923321,2011,BELL HELICOPTER TEXTRON INC.
DOD,2969999872,TEXAS,USA,26,DEFENSE LOGISTICS AGENCY,DLA AVIATION,62923321,2011,BELL HELICOPTER TEXTRON INC.
DOD,2969999872,TEXAS,USA,26,DEFENSE LOGISTICS AGENCY,DLA AVIATION,62923321,2011,BELL HELICOPTER TEXTRON INC.
DOD,2969999872,TEXAS,USA,26,DEFENSE LOGISTICS AGENCY,DLA AVIATION,62923321,2011,BELL HELICOPTER TEXTRON INC.
DOD,2969999872,TEXAS,USA,26,DEFENSE LOGISTICS AGENCY,DLA AVIATION,62923321,2011,BELL HELICOPTER TEXTRON INC.
DOD,2969999872,TEXAS,USA,26,DEFENSE LOGISTICS AGENCY,DLA AVIATION,62923321,2011,BELL HELICOPTER TEXTRON INC.
DOD,2969999872,TEXAS,USA,26,DEFENSE LOGISTICS AGENCY,DLA AVIATION,62923321,2011,BELL HELICOPTER TEXTRON INC.
DOD,2969999872,TEXAS,USA,26,DEFENSE LOGISTICS AGENCY,DLA AVIATION,62923321,2011,BELL HELICOPTER TEXTRON INC.
DOD,2969999872,TEXAS,USA,26,DEFENSE LOGISTICS AGENCY,DLA AVIATION,62923321,2011,BELL HELICOPTER TEXTRON INC.
DOD,2969999872,TEXAS,USA,26,DEFENSE LOGISTICS AGENCY,DLA AVIATION,62923321,2011,BELL HELICOPTER TEXTRON INC.
DOD,2969999872,TEXAS,USA,26,DEFENSE LOGISTICS AGENCY,DLA AVIATION,62923321,2011,BELL HELICOPTER TEXTRON INC.
DOD,2969999872,TEXAS,USA,26,DEFENSE LOGISTICS AGENCY,DLA AVIATION,62923321,2011,BELL HELICOPTER TEXTRON INC.
DOD,2969999872,TEXAS,USA,26,DEFENSE LOGISTICS AGENCY,DLA AVIATION,62923321,2011,BELL HELICOPTER TEXTRON INC.
DOD,2969999872,TEXAS,USA,26,DEFENSE LOGISTICS AGENCY,DLA AVIATION,62923321,2011,BELL HELICOPTER TEXTRON INC.
DOD,2969999872,TEXAS,USA,26,DEFENSE LOGISTICS AGENCY,DLA AVIATION,62923321,2011,BELL HELICOPTER TEXTRON INC.
DOD,2969999872,TEXAS,USA,26,DEFENSE LOGISTICS AGENCY,DLA AVIATION,62923321,2011,BELL HELICOPTER TEXTRON INC.
DOD,2969999872,TEXAS,USA,26,DEFENSE LOGISTICS AGENCY,DLA AVIATION,62923321,2011,BELL HELICOPTER TEXTRON INC.
DOD,2969999872,TEXAS,USA,26,DEPT OF THE ARMY,W6QK ACC-RSA,62923321,2012,BELL HELICOPTER TEXTRON INC.
DOD,2941527000,PENNSYLVANIA,USA,8,DEPT OF THE NAVY,MILITARY SEALIFT FLT SUPP CMD NORF,15101848,2012,ALFA LAVAL INC.
DOD,2900000000,CONNECTICUT,USA,2,DEPT OF THE NAVY,SUP OF SHIPBUILDING GROTON,963737366,2012,ELECTRIC BOAT CORPORATION
DOD,2900000000,MASSACHUSETTS,USA,6,DEFENSE LOGISTICS AGENCY,DLA LAND AND MARITIME SUPPLIER,623100161,2012,"AMETEK, INC."
DOD,2900000000,MASSACHUSETTS,USA,6,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,623100161,2012,"AMETEK, INC."
DOD,2876100000,INDIANA,USA,3,DEPT OF THE NAVY,NAVAL MEDICAL CENTER PORTSMOUTH VA,86782224,2012,"BIOMET, INC."
DOD,2830000128,FLORIDA,USA,1,DEPT OF THE NAVY,NAVAL HOSPITAL PENSACOLA FL,828387717,2011,"AIRGAS, INC."
DOD,2800000000,MISSOURI,USA,3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,71970180,2012,ENGINEERED COIL COMPANY
DOD,2766610176,VIRGINIA,USA,10,DEPT OF THE NAVY,SUP OF SHIPBUILDING CONV AND REPAIR,114896066,2012,CACI INC FEDERAL
DOD,2766610176,VIRGINIA,USA,10,DEPT OF THE ARMY,W6QK ADAP SPT OFF,145070749,2012,"CACI ENTERPRISE SOLUTIONS, INC"
DOD,2729472000,GEORGIA,USA,5,DEPT OF THE NAVY,NAVAL MEDICAL LOGISTICS COMMAND,66469933,2012,EMORY UNIVERSITY
DOD,2700000000,MISSOURI,USA,1,DEPT OF THE AIR FORCE,FA3300  42 CONS CC,614948396,2011,"WORLD WIDE TECHNOLOGY, INC."
DOD,2700000000,MISSOURI,USA,1,DEPT OF THE ARMY,W7NB USPFO ACTIVITY LA ARNG,614948396,2012,"WORLD WIDE TECHNOLOGY, INC."
DOD,2556000000,PENNSYLVANIA,USA,8,DEPT OF THE NAVY,NAVAL MEDICAL LOGISTICS COMMAND,44549434,2011,"DRAEGER MEDICAL, INC."
DOD,2500000000,CONNECTICUT,USA,4,DEPT OF THE AIR FORCE,FA4418  628 CONS LGC,176333961,2011,"UNITED RENTALS, INC."
DOD,2500000000,NEW YORK,USA,29,DEPT OF THE NAVY,NAVAL RESEARCH LABORATORY,55778088,2011,"GETINGE USA, INC."
DOD,2500000000,WASHINGTON,USA,1,DEFENSE LOGISTICS AGENCY,DLA LAND AND MARITIME SUPPLIER,9251042,2012,ELDEC CORPORATION
DOD,2456384000,ILLINOIS,USA,10,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,127208879,2011,ABBOTT LABORATORIES
DOD,2420000000,VIRGINIA,USA,4,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),DCMA NAVAL SPECIAL EMPHASIS OPS,48827364,2012,"WARTSILA DEFENSE, INC."
DOD,2362890240,VIRGINIA,USA,10,DEPT OF THE NAVY,SPAWAR SYSTEMS CENTER ATLANTIC,114896066,2012,CACI INC FEDERAL
DOD,2362890240,VIRGINIA,USA,10,DEPT OF THE NAVY,SPAWAR SYSTEMS CENTER ATLANTIC,114896066,2012,CACI INC FEDERAL
DOD,2362890240,VIRGINIA,USA,10,DEPT OF THE NAVY,SPAWAR SYSTEMS CENTER ATLANTIC,114896066,2012,CACI INC FEDERAL
DOD,2362111048,PENNSYLVANIA,USA,9,DEFENSE LOGISTICS AGENCY,DLA AVIATION,786130583,2012,"JLG INDUSTRIES, INC."
DOD,2357000000,VIRGINIA,USA,4,DEPT OF THE NAVY,NAVSUP FLT LOG CTR NORFOLK,48827364,2011,"WARTSILA DEFENSE, INC."
DOD,2357000000,VIRGINIA,USA,4,DEPT OF THE NAVY,MILITARY SEALIFT FLT SUPP CMD NORF,48827364,2011,"WARTSILA DEFENSE, INC."
DOD,2357000000,VIRGINIA,USA,4,DEFENSE LOGISTICS AGENCY,DLA MARITIME - NORFOLK,48827364,2011,"WARTSILA DEFENSE, INC."
DOD,2350000128,NEW JERSEY,USA,3,DEPT OF THE NAVY,NAVSUP FLT LOG CTR JACKSONVILLE,37431715,2012,"SIRCHIE ACQUISITION COMPANY, LLC"
DOD,2300000000,CALIFORNIA,USA,36,DEPT OF THE NAVY,NAVAL AIR SYSTEMS COMMAND,60897063,2011,RAYTHEON COMPANY
DOD,2213644032,ILLINOIS,USA,10,DEPT OF THE ARMY,W4PZ USA MED RSCH ACQUIS ACT,26157235,2011,CDW GOVERNMENT LLC
DOD,2213644032,ILLINOIS,USA,10,DEPT OF THE ARMY,W6QM MICC-FT BLISS,26157235,2011,CDW GOVERNMENT LLC
DOD,2213644032,ILLINOIS,USA,10,DEPT OF THE ARMY,W0QF HQ SURFACE DEPL&DISTR CMD,26157235,2011,CDW GOVERNMENT LLC
DOD,2213644032,ILLINOIS,USA,10,DEPT OF THE NAVY,NAVY-MARINE CORPS PUBLIC HEALTH CTR,26157235,2012,CDW GOVERNMENT LLC
DOD,2213644000,ILLINOIS,USA,10,DEPT OF THE AIR FORCE,FA2816  SMC PKO,26157235,2011,CDW GOVERNMENT LLC
DOD,2211322880,VIRGINIA,USA,2,DEPT OF THE NAVY,NAVAL FAC ENGINEEERING CMD ATLANTIC,623972689,2012,"TETRA TECH, INC."
DOD,2200000000,CALIFORNIA,USA,30,DEFENSE LOGISTICS AGENCY,DLA AVIATION,155389224,2011,"ONTIC ENGINEERING AND MANUFACTURING, INC."
DOD,2200000000,CALIFORNIA,USA,30,DEFENSE LOGISTICS AGENCY,DLA AVIATION,155389224,2012,"ONTIC ENGINEERING&MANUFACTURING, INC."
DOD,2200000000,CALIFORNIA,USA,30,DEFENSE LOGISTICS AGENCY,DLA AVIATION,155389224,2012,"ONTIC ENGINEERING AND MANUFACTURING, INC."
DOD,2196343000,CALIFORNIA,USA,27,DEPT OF THE NAVY,NSWC CRANE,964132864,2012,"HYDRO-AIRE, INC."
DOD,2135000064,ILLINOIS,USA,6,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,85866580,2011,"TW METALS, INC."
DOD,2135000064,ILLINOIS,USA,6,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,85866580,2011,"TW METALS, INC."
DOD,2117339008,MASSACHUSETTS,USA,8,DEPT OF THE AIR FORCE,FA8721  AFLCMC PZE CM,1425594,2011,MASSACHUSETTS INSTITUTE OF TECHNOLOGY
DOD,2117339008,MASSACHUSETTS,USA,8,DEPT OF THE NAVY,SPACE AND NAVAL WARFARE SYSTEMS,1425594,2012,MASSACHUSETTS INSTITUTE OF TECHNOLOGY
DOD,2109100032,WISCONSIN,USA,1,DEPT OF THE NAVY,NAVSUP FLT LOG CTR  SAN DIEGO,806095217,2011,IDSC HOLDINGS LLC
DOD,2100000000,CALIFORNIA,USA,52,DEPT OF THE NAVY,NAVSEA HQ,964265664,2011,RAYTHEON COMPANY
DOD,2100000000,GEORGIA,USA,5,DEPT OF THE NAVY,SUPPLY DIRECTORATE,606774891,2012,MCMASTER CARR SUPPLY COMPANY
DOD,2100000000,MASSACHUSETTS,USA,7,MISSILE DEFENSE AGENCY (MDA),MISSILE DEFENSE AGENCY (MDA),148828887,2011,RAYTHEON COMPANY
DOD,2100000000,MISSOURI,USA,1,DEFENSE LOGISTICS AGENCY,DLA CONTRACTING SERVICES OFFICE,614948396,2012,WORLD WIDE TECHNOLOGY INCORPORATED
DOD,2073399000,FLORIDA,USA,5,DEFENSE LOGISTICS AGENCY,DLA AVIATION,807445499,2011,PALL AEROPOWER CORPORATION
DOD,2073399000,FLORIDA,USA,5,DEFENSE LOGISTICS AGENCY,DLA LAND AND MARITIME SUPPLIER,807445499,2011,PALL AEROPOWER CORPORATION
DOD,2073399000,FLORIDA,USA,5,DEFENSE LOGISTICS AGENCY,DLA AVIATION,807445499,2012,PALL AEROPOWER CORPORATION
DOD,2073399000,FLORIDA,USA,5,DEFENSE LOGISTICS AGENCY,DLA LAND AND MARITIME SUPPLIER,807445499,2012,PALL AEROPOWER CORPORATION
DOD,2000000000,ARIZONA,USA,3,TRICARE MANAGEMENT ACTIVITY (TMA),DEFENSE HEALTH AGENCY AURORA,945580587,2011,TRIWEST HEALTHCARE ALLIANCE CORPORATION
DOD,2000000000,DISTRICT OF COLUMBIA,USA,0,DEPT OF THE ARMY,W31R ENDIS MIDDLE EAST,128729373,2011,UNITED PARCEL SERVICE INCORPORATED (OH) (2075)
DOD,2000000000,FLORIDA,USA,20,DEPT OF THE ARMY,0410 AQ HQ,80170350,2012,"ACR ELECTRONICS, INC."
DOD,2000000000,MASSACHUSETTS,USA,6,DEFENSE LOGISTICS AGENCY,DLA AVIATION,623100161,2012,"AMETEK, INC."
DOD,2000000000,MINNESOTA,USA,3,DEFENSE LOGISTICS AGENCY,DLA LAND AND MARITIME SUPPLIER,112405969,2011,EATON HYDRAULICS LLC
DOD,2000000000,NEW YORK,USA,22,DEFENSE LOGISTICS AGENCY,DLA AVIATION,1223692,2012,ROTRON INCORPORATED
DOD,2000000000,OHIO,USA,18,DEPT OF THE NAVY,NAVSUP WEAPON SYSTEMS SUPPORT MECH,965932692,2011,HOWDEN NORTH AMERICA INC.
DOD,2000000000,PENNSYLVANIA,USA,7,DEPT OF THE NAVY,NAVAL MEDICAL CENTER PORTSMOUTH VA,780231150,2012,"SYNTHES USA SALES, LLC"
DOD,2000000000,TEXAS,USA,12,DEPT OF THE AIR FORCE,FA8108  AFSC PZIE,608461898,2011,DYNCORP INTERNATIONAL LLC
DOD,2000000000,TEXAS,USA,30,DEPT OF THE ARMY,W071 ENDIST KANSAS CITY,830398249,2012,BALFOUR-WALTON A JOINT VENTURE
DOD,2000000000,TEXAS,USA,30,DEPT OF THE ARMY,W071 ENDIST KANSAS CITY,830398249,2012,BALFOUR-WALTON A JOINT VENTURE
DOD,2000000000,UTAH,USA,3,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),DCMA DENVER,59513879,2012,MOOG INC.
DOD,2000000000,VIRGINIA,USA,10,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),DITCO-SCOTT,20751082,2011,MCI COMMUNICATIONS SERVICES INC
DOD,2000000000,VIRGINIA,USA,4,DEPT OF THE NAVY,NAVAL FAC ENGINEERING CMD MID LANT,70727610,2012,"UNITED RENTALS, INC."
DOD,2000000000,VIRGINIA,USA,4,DEPT OF THE NAVY,NAVAL FAC ENGINEERING CMD MID LANT,70727610,2012,"UNITED RENTALS, INC."
DOD,2000000000,WISCONSIN,USA,1,DEFENSE LOGISTICS AGENCY,DLA LAND AND MARITIME,806095217,2011,IDSC HOLDINGS LLC
DOD,2000000000,WISCONSIN,USA,1,DEFENSE LOGISTICS AGENCY,DLA LAND AND MARITIME,806095217,2012,IDSC HOLDINGS LLC
DOD,1900000000,FLORIDA,USA,24,DEPT OF THE ARMY,W6QK ACC ORLANDO,155505485,2011,RAYTHEON TECHNICAL SERVICES COMPANY LIMITED LIABILITY COMPANY (5772)
DOD,1827825024,MASSACHUSETTS,USA,1,DEPT OF THE NAVY,NAVAL MEDICAL CENTER SAN DIEGO CA,94738007,2012,SIMPLEXGRINNELL LP
DOD,1813502000,PENNSYLVANIA,USA,13,DEFENSE LOGISTICS AGENCY,DLA LAND AND MARITIME,933851081,2012,"TRIUMPH CONTROLS, LLC"
DOD,1800000000,FLORIDA,USA,10,DEFENSE LOGISTICS AGENCY,DLA LAND AND MARITIME,151954310,2011,CONAX FLORIDA CORPORATION
DOD,1800000000,PENNSYLVANIA,USA,13,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,76339782,2011,"I-SOLUTIONS DIRECT, INC."
DOD,1800000000,PENNSYLVANIA,USA,13,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,76339782,2011,"I-SOLUTIONS DIRECT, INC."
DOD,1789410000,PENNSYLVANIA,USA,5,DEPT OF THE NAVY,WALTER REED NATIONAL,621040328,2012,"PENNSYLVANIA STATE UNIVERSITY, THE"
DOD,1704346000,CONNECTICUT,USA,4,DEPT OF THE NAVY,NAVAL MEDICAL RESEARCH CENTER,132010856,2011,"PERKINELMER HEALTH SCIENCES, INC"
DOD,1702400000,CALIFORNIA,USA,28,DEFENSE LOGISTICS AGENCY,DLA LAND AND MARITIME SUPPLIER,868641705,2011,"MEGGITT (NORTH HOLLYWOOD), INC."
DOD,1660000000,,JAPAN,,DEPT OF THE NAVY,NAVAL HOSPITAL YOKOSUKA,690743786,2012,ORTHO-CLINICAL DIAGNOSTICS K.K.
DOD,1650000000,TEXAS,USA,12,DEPT OF THE NAVY,NAVSUP WEAPON SYSTEMS SUPPORT MECH,800765331,2011,EFW INC.
DOD,1650000000,,ITALY,,DEPT OF THE AIR FORCE,FA5682  31 CONS DA LGC,655099703,2011,SIEMENS HEALTHCARE DIAGNOSTICS SRL
DOD,1600000000,GEORGIA,USA,6,DEPT OF THE NAVY,NAVFAC SOUTHEAST,39428339,2011,"APAC-MISSISSIPPI, INC."
DOD,1600000000,NEW JERSEY,USA,5,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT MEDICAL SUPPLY CH,58311945,2011,HOWMEDICA OSTEONICS CORP
